asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns,time,price
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1588549440,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1589593440,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1589600040,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1589862720,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1589868000,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590306240,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590381120,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590515040,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590552240,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590912000,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1590970320,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591039080,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591164480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591203600,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591229160,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591252800,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1591278240,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1592603760,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1592754720,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1593021360,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1593211920,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1593248760,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1593324480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1594197480,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1594543200,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1594647480,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1594713120,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1594801680,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595171280,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595173200,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595187600,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595213040,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595249760,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595272680,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595298480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595316480,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595354880,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595375520,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1595384280,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597364160,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597445760,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597460640,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597528320,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597557000,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597595400,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597676760,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597701600,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597726560,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597793160,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1597826640,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598268480,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598308320,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598335920,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598342040,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598359320,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598546880,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1598714400,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599594000,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599621360,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599682800,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599684960,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599777000,53.49
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599789360,-0.01
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE,1599799440,53.49
