asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns
B09773TW7Z,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Turq Tonic,5 Women/3 Men,FALSE,FALSE
B00889ZBGI,0,B09NZDFPP9,Home,"Plaid Enterprises, Inc.",Apple Barrel,K20580,Pewter Grey,2 Fl Oz (Pack of 1),TRUE,FALSE
B0BMMP1CR6,5,B0BMMP1CR6,Drugstore,,Vital Proteins,,,,FALSE,FALSE
B096FYRM17,0,B09GK2JJDZ,Guild,,Acatinthetree,,Brass,"Medium 1.14""",FALSE,FALSE
B09774QB2H,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Pure Water,15 Women/13 Men,FALSE,FALSE
B0B5QMZ47S,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BPW88XXH,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0014C3UEQ,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Army Green,11 Women/9 Men,FALSE,FALSE
B09NM9YNPH,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Bone,8 Women/6 Men,FALSE,FALSE
B08GLWV2BM,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0145WHDQ2,0,BT00DC6QU4,Gift Card,,Amazon,182_US_Email,,,FALSE,FALSE
B0B131K7Y8,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09CZCK955,0,B09HZ3W89W,Automotive Parts and Accessories,Rain-X,Rain-X,810198,,"24"" and 21""",TRUE,FALSE
B08K8KW9FR,0,B0B3MX3VSM,Wireless,Misxi,Misxi,MXB-PC_B42,Black(2-Pack),42 mm,FALSE,FALSE
B0B4SHC6BH,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Limeade,9 Women/7 Men,FALSE,FALSE
B089K4XHYX,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Flame,6 Women/4 Men,FALSE,FALSE
B09F1RMT8W,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09H71YPRQ,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08T3DYXFS,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BBMMSYNM,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BHTJ9WJY,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BHRBHSBC,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0B5QMQ2NB,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B07MDR5TG9,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B084RQ6ND4,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09JVTGJF1,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,29 - Light Olive Green,Twin XL,FALSE,FALSE
B07PH2Q1N8,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,Queen4PCDenimBlue,19 - Denim Blue,Queen,FALSE,FALSE
B078P3GW2D,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,TwinXL4PCBurgundy,26 - Burgundy,Twin XL,FALSE,FALSE
B089179WJ5,0,B09QF49KR8,Grocery,"Celsius, Inc.",CELSIUS,,,12 Fl Oz (Pack of 4),FALSE,FALSE
B0959PVKX5,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B06X9P9MG2,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,CalKing4PCBeige,13 - Beige,California King,FALSE,FALSE
B09JW2LWG2,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,02 - French Grey,King,FALSE,FALSE
B07BTHZKC1,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Papaya,14 Women/12 Men,TRUE,FALSE
B09JVPBC8J,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,21 - Royal Blue,Twin XL,FALSE,FALSE
B09JVTTCC1,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,28 - Light Sage Green,Twin XL,FALSE,FALSE
B08CYTMT9W,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08ZKW1SSX,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09BQVG9LD,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09F1BRJLJ,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BKS1TZY2,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BQ1K4S8L,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BCWP89HG,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BF8Y58FG,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Moon Jelly,16 Women/14 Men,FALSE,FALSE
B09FHKX167,0,B005GCCJME,Shoes,Crocs,Crocs,10001R,Evergreen,16 Women/14 Men,FALSE,FALSE
B0B4SF5YQ3,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Limeade,4 Women/2 Men,FALSE,FALSE
B00889Z9O2,0,B09NZDFPP9,Home,"Plaid Enterprises, Inc.",Apple Barrel,21347E,Wintergreen,2 Ounce,FALSE,FALSE
