domainId,catId,name,parent,highestRank,productCount,contextFreeName,lowestRank
1,8624164011,Humor & Entertainment,8584460011,6931551,8408,45-Minute Humor & Entertainment Short Reads,134
1,8624158011,"Cookbooks, Food & Wine",8584460011,6958934,14539,"45-Minute Cookbook, Food & Wine Short Reads",1134
1,8624173011,Self-Help,8584460011,6977653,38115,45-Minute Self-Help Short Reads,130
1,8624156011,Comics & Graphic Novels,8584460011,6968492,66837,45-Minute Comic & Graphic Novel Short Reads,461
1,8624165011,Literature & Fiction,8584460011,6979750,141969,45-Minute Literature & Fiction Short Reads,524
1,8624166011,"Mystery, Thriller & Suspense",8584460011,6949306,13572,"45-Minute Mystery, Thriller & Suspense Short Reads",524
1,8624168011,Politics & Social Sciences,8584460011,6939570,12336,45-Minute Politics & Social Sciences Short Reads,2903
1,8624170011,Romance,8584460011,6981319,16780,45-Minute Romance Short Reads,681
1,8624162011,"Health, Fitness & Dieting",8584460011,6982298,38866,"45-Minute Health, Fitness & Dieting Short Reads",416
1,8624163011,History,8584460011,6971542,18817,45-Minute History Short Reads,2701
1,8624167011,Parenting & Relationships,8584460011,6969100,25107,45-Minute Parenting & Relationships Short Reads,130
1,8624171011,Science & Math,8584460011,6978955,13808,45-Minute Science & Math Short Reads,6964
1,8624153011,Biographies & Memoirs,8584460011,6953408,16968,45-Minute Biography & Memoir Short Reads,130
1,8624152011,Arts & Photography,8584460011,6978955,18316,45-Minute Arts & Photography Short Reads,4725
1,8624176011,Travel,8584460011,6942565,8400,45-Minute Travel Short Reads,4485
1,8624169011,Religion & Spirituality,8584460011,6971903,28845,45-Minute Religion & Spirituality Short Reads,691
1,8624161011,LGBTQ+,8584460011,6981319,5841,45-Minute LGBTQ+ Short Reads,817
1,8624160011,Education & Reference,8584460011,6976154,46720,45-Minute Education & Reference Short Reads,534
1,8624175011,Teen & Young Adult,8584460011,6977653,36273,45-Minute Teen & Young Adult Short Reads,1271
1,8624174011,Sports & Outdoors,8584460011,6934930,8092,45-Minute Sports & Outdoors Short Reads,1542
1,8624172011,Science Fiction & Fantasy,8584460011,6954554,21838,45-Minute Science Fiction & Fantasy Short Reads,1801
1,241646011,Kindle Newsstand,133141011,6866919,9783,Kindle Newsstand,17
1,16015306011,"Arts, Music & Photography",241646011,6331962,293,"Arts, Music & Photography eMagazines",42
1,16015378011,Art & Art History,16015306011,4310824,27,Art & Art History eMagazines,2239
1,16015382011,Photography,16015306011,5308743,37,Photography eMagazines,23182
1,16015381011,Music,16015306011,6331962,62,Music eMagazines,11028
